StationId	DataType	FileName	Id	Lat	Long	Scenario	Constituent	SDate	EDate	YrCount	Value	Sum	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	StaNam
502144	WdmFinal	ak502144.wdm	9	60.393	-149.67	COMPUTED	PMET	'1970/01/01'	'2003/12/31'	34	30.14	29.67	0.030	0.040	0.079	0.111	0.147	0.151	0.133	0.095	0.058	0.049	0.041	0.038	COOPER LAKE PROJECT
502177	WdmFinal	ak502177.wdm	9	60.491	-145.45	COMPUTED	PMET	'1970/01/01'	'2006/12/31'	37	21.61	21.57	0.009	0.017	0.052	0.078	0.115	0.123	0.114	0.084	0.055	0.033	0.016	0.010	CORDOVA AP
502339	WdmFinal	ak502339.wdm	9	64.118	-145.75	COMPUTED	PMET	'1997/01/01'	'2006/12/31'	10	27.86	27.86	0.000	0.003	0.052	0.122	0.185	0.220	0.162	0.099	0.053	0.011	0.004	0.000	DELTA 6N
502350	WdmFinal	ak502350.wdm	9	64.084	-145.61	COMPUTED	PMET	'1995/01/01'	'2005/12/31'	11	28.81	28.81	0.000	0.004	0.055	0.130	0.190	0.233	0.164	0.097	0.056	0.011	0.004	0.000	DELTA 5 NE
502568	WdmFinal	ak502568.wdm	9	63.677	-144.6	COMPUTED	PMET	'1997/01/01'	'2006/12/31'	10	27.54	27.54	0.000	0.003	0.051	0.119	0.175	0.219	0.167	0.100	0.053	0.010	0.003	0.000	DRY CREEK
502607	WdmFinal	ak502607.wdm	9	64.786	-141.2	COMPUTED	PMET	'1976/01/01'	'2006/12/31'	31	35.56	35.56	0.000	0.000	0.030	0.110	0.212	0.295	0.275	0.157	0.071	0.011	0.000	0.000	EAGLE
502656	WdmFinal	ak502656.wdm	9	61.297	-149.44	COMPUTED	PMET	'1990/01/01'	'2006/12/31'	17	33.9	33.9	0.005	0.024	0.071	0.131	0.199	0.220	0.195	0.127	0.071	0.046	0.013	0.008	EAGLE RIVER 5 SE
502707	WdmFinal	ak502707.wdm	9	64.667	-147.1	COMPUTED	PMET	'1970/01/01'	'2006/12/31'	37	34.18	33.66	0.000	0.001	0.038	0.125	0.226	0.255	0.222	0.142	0.070	0.020	0.001	0.000	EIELSON FIELD
502785	WdmFinal	ak502785.wdm	9	58.192	-136.34	COMPUTED	PMET	'1975/01/01'	'2006/12/31'	32	29.34	29.34	0.006	0.032	0.071	0.114	0.163	0.161	0.153	0.121	0.070	0.042	0.013	0.015	ELFIN COVE
502871	WdmFinal	ak502871.wdm	9	64.912	-147.94	COMPUTED	PMET	'1998/01/01'	'2004/12/31'	7	31.44	31.44	0.000	0.001	0.043	0.128	0.216	0.257	0.182	0.127	0.058	0.017	0.001	0.000	ESTER 5 NE
502965	WdmFinal	ak502965.wdm	9	64.817	-147.87	COMPUTED	PMET	'2000/01/01'	'2006/12/31'	7	33.9	33.9	0.000	0.001	0.039	0.129	0.226	0.271	0.209	0.144	0.070	0.020	0.001	0.000	FAIRBANKS AP #2
502968	WdmFinal	ak502968.wdm	9	64.804	-147.88	COMPUTED	PMET	'1999/01/01'	'2006/12/31'	8	34.92	34.92	0.000	0.001	0.044	0.132	0.233	0.280	0.212	0.145	0.072	0.023	0.001	0.000	FAIRBANKS INTL AP
503160	WdmFinal	ak503160.wdm	9	65.003	-147.34	COMPUTED	PMET	'2001/01/01'	'2006/12/31'	6	32.7	32.69	0.000	0.001	0.042	0.127	0.211	0.256	0.206	0.134	0.069	0.022	0.001	0.000	FORT KNOX MINE
503163	WdmFinal	ak503163.wdm	9	61.228	-149.65	COMPUTED	PMET	'1991/01/01'	'2006/12/31'	16	32.38	32.38	0.005	0.022	0.068	0.127	0.187	0.213	0.182	0.125	0.067	0.042	0.014	0.008	FT RICHARDSON W T P
503212	WdmFinal	ak503212.wdm	9	64.741	-156.88	COMPUTED	PMET	'1997/01/01'	'2006/12/31'	10	29.08	29.08	0.003	0.016	0.043	0.102	0.186	0.239	0.178	0.104	0.054	0.012	0.015	0.001	GALENA
503294	WdmFinal	ak503294.wdm	9	58.458	-135.87	COMPUTED	PMET	'1970/01/01'	'2006/12/31'	37	31.03	30.99	0.005	0.034	0.079	0.120	0.171	0.178	0.165	0.124	0.069	0.042	0.013	0.016	GLACIER BAY
503299	WdmFinal	ak503299.wdm	9	61.1	-149.69	COMPUTED	PMET	'1971/01/01'	'2006/12/31'	36	25.82	25.82	0.005	0.017	0.046	0.082	0.149	0.177	0.154	0.109	0.057	0.032	0.012	0.006	GLEN ALPS
503465	WdmFinal	ak503465.wdm	9	62.16	-145.46	COMPUTED	PMET	'1970/01/01'	'2006/12/31'	37	27.99	27.89	0.007	0.016	0.060	0.108	0.167	0.162	0.144	0.103	0.072	0.049	0.015	0.008	GULKANA AP
503502	WdmFinal	ak503502.wdm	9	59.238	-135.45	COMPUTED	PMET	'2001/01/01'	'2006/12/31'	6	35.72	35.71	0.004	0.032	0.082	0.134	0.215	0.213	0.191	0.145	0.077	0.051	0.013	0.014	HAINES #2
503504	WdmFinal	ak503504.wdm	9	59.451	-136.36	COMPUTED	PMET	'1990/01/01'	'2006/12/31'	17	35.42	35.42	0.004	0.029	0.076	0.126	0.204	0.217	0.200	0.150	0.081	0.050	0.012	0.012	HAINES 40 NW
503573	WdmFinal	ak503573.wdm	9	61.987	-152.08	COMPUTED	PMET	'1981/01/01'	'2006/12/31'	26	28.99	28.91	0.011	0.024	0.053	0.096	0.162	0.193	0.166	0.107	0.062	0.039	0.019	0.014	HAYES RIVER
503585	WdmFinal	ak503585.wdm	9	63.883	-149.02	COMPUTED	PMET	'1977/01/01'	'2004/12/31'	28	32.49	32.49	0.000	0.001	0.045	0.125	0.218	0.240	0.209	0.131	0.070	0.021	0.001	0.000	HEALY 2 NW
503665	WdmFinal	ak503665.wdm	9	59.643	-151.49	COMPUTED	PMET	'1972/01/01'	'2005/12/31'	34	29.28	29.28	0.030	0.044	0.077	0.105	0.140	0.147	0.131	0.095	0.058	0.058	0.039	0.036	HOMER AP
503672	WdmFinal	ak503672.wdm	9	59.744	-151.55	COMPUTED	PMET	'1978/01/01'	'2006/12/31'	29	26.71	26.71	0.030	0.042	0.074	0.100	0.125	0.135	0.118	0.087	0.051	0.045	0.036	0.034	HOMER 8 NW
503682	WdmFinal	ak503682.wdm	9	59.716	-151.33	COMPUTED	PMET	'1989/01/01'	'2005/12/31'	17	29.06	29.06	0.031	0.044	0.076	0.114	0.141	0.150	0.129	0.095	0.052	0.054	0.034	0.033	HOMER 9 E
503905	WdmFinal	ak503905.wdm	9	59.754	-154.91	COMPUTED	PMET	'1970/01/01'	'2006/12/31'	37	39.6	38.88	0.051	0.055	0.078	0.107	0.164	0.193	0.172	0.138	0.097	0.083	0.079	0.057	ILIAMNA AIRPORT
503933	WdmFinal	ak503933.wdm	9	59.555	-154.5	COMPUTED	PMET	'1970/01/01'	'2005/12/31'	36	38.43	37.59	0.050	0.050	0.075	0.096	0.154	0.191	0.175	0.141	0.093	0.083	0.075	0.050	INTRICATE BAY
504107	WdmFinal	ak504107.wdm	9	58.387	-134.77	COMPUTED	PMET	'2000/01/01'	'2006/12/31'	7	31.29	31.29	0.005	0.032	0.080	0.134	0.180	0.180	0.152	0.133	0.065	0.038	0.012	0.013	JUNEAU LENA POINT
504546	WdmFinal	ak504546.wdm	9	60.58	-151.24	COMPUTED	PMET	'1972/01/01'	'2006/12/31'	35	30.02	30.02	0.030	0.043	0.079	0.116	0.148	0.148	0.131	0.097	0.060	0.057	0.038	0.036	KENAI AP
504550	WdmFinal	ak504550.wdm	9	60.669	-151.32	COMPUTED	PMET	'1984/01/01'	'2006/12/31'	23	30.33	30.33	0.028	0.042	0.080	0.118	0.150	0.154	0.134	0.099	0.058	0.056	0.040	0.035	KENAI 9N
504567	WdmFinal	ak504567.wdm	9	61.679	-144.76	COMPUTED	PMET	'2001/01/01'	'2006/12/31'	6	28.87	28.87	0.006	0.020	0.065	0.113	0.169	0.174	0.141	0.114	0.069	0.047	0.016	0.010	KENNY LAKE 7SE
504590	WdmFinal	ak504590.wdm	9	55.357	-131.71	COMPUTED	PMET	'1970/01/01'	'2006/12/31'	37	39.85	39.94	0.033	0.085	0.102	0.140	0.179	0.176	0.170	0.136	0.107	0.078	0.061	0.045	KETCHIKAN
504621	WdmFinal	ak504621.wdm	9	64.916	-148.27	COMPUTED	PMET	'1997/01/01'	'2006/12/31'	10	30.82	30.82	0.000	0.001	0.043	0.126	0.202	0.245	0.188	0.121	0.061	0.019	0.001	0.000	KEYSTONE RIDGE
504766	WdmFinal	ak504766.wdm	9	58.684	-156.65	COMPUTED	PMET	'1970/01/01'	'2006/12/31'	37	35.38	35.38	0.042	0.041	0.085	0.124	0.169	0.187	0.164	0.127	0.080	0.054	0.046	0.040	KING SALMON AP
504812	WdmFinal	ak504812.wdm	9	58.191	-152.37	COMPUTED	PMET	'1970/01/01'	'2006/12/31'	37	39.94	40.98	0.072	0.074	0.105	0.133	0.191	0.160	0.151	0.118	0.088	0.086	0.100	0.067	KITOI BAY
504971	WdmFinal	ak504971.wdm	9	64.194	-149.43	COMPUTED	PMET	'2001/01/01'	'2006/12/31'	6	30.99	30.98	0.000	0.001	0.036	0.117	0.203	0.245	0.183	0.142	0.067	0.019	0.001	0.000	KOBE HILL
504988	WdmFinal	ak504988.wdm	9	57.751	-152.49	COMPUTED	PMET	'1985/01/01'	'2006/12/31'	22	47.48	47.48	0.085	0.085	0.128	0.148	0.235	0.162	0.164	0.132	0.101	0.102	0.132	0.082	KODIAK AP
505397	WdmFinal	ak505397.wdm	9	62.453	-146.68	COMPUTED	PMET	'1991/01/01'	'2003/12/31'	13	25.5	25.5	0.006	0.013	0.053	0.097	0.148	0.147	0.135	0.100	0.068	0.045	0.014	0.007	LAKE SUSITNA
505464	WdmFinal	ak505464.wdm	9	61.629	-149.03	COMPUTED	PMET	'1985/01/01'	'2006/12/31'	22	29.81	29.81	0.005	0.022	0.062	0.116	0.176	0.192	0.166	0.112	0.064	0.042	0.013	0.007	LAZY MOUNTAIN
505519	WdmFinal	ak505519.wdm	9	56.394	-134.66	COMPUTED	PMET	'1970/01/01'	'2006/12/31'	37	29.98	29.78	0.052	0.047	0.077	0.107	0.139	0.130	0.143	0.097	0.070	0.054	0.051	0.010	LITTLE PORT WALTER
505604	WdmFinal	ak505604.wdm	9	60.518	-148.09	COMPUTED	PMET	'1983/01/01'	'2006/12/31'	24	21.09	21.09	0.007	0.012	0.050	0.073	0.116	0.127	0.117	0.088	0.049	0.030	0.013	0.007	MAIN BAY
505733	WdmFinal	ak505733.wdm	9	61.566	-149.25	COMPUTED	PMET	'1970/01/01'	'2006/12/31'	37	31.39	31.73	0.005	0.023	0.068	0.119	0.186	0.199	0.175	0.123	0.071	0.046	0.015	0.008	MATANUSKA AES
505757	WdmFinal	ak505757.wdm	9	61.418	-143	COMPUTED	PMET	'1984/01/01'	'2006/12/31'	23	23.69	23.7	0.003	0.000	0.037	0.067	0.147	0.191	0.170	0.092	0.024	0.040	0.000	0.002	MCCARTHY 3 SW
505769	WdmFinal	ak505769.wdm	9	62.956	-155.61	COMPUTED	PMET	'1970/01/01'	'2006/12/31'	37	28	27.99	0.000	0.006	0.036	0.093	0.167	0.210	0.185	0.126	0.064	0.024	0.004	0.000	MCGRATH AP
505778	WdmFinal	ak505778.wdm	9	63.717	-148.97	COMPUTED	PMET	'1970/01/01'	'2006/12/31'	37	29.75	29.85	0.000	0.001	0.042	0.113	0.203	0.217	0.192	0.125	0.061	0.020	0.001	0.000	MCKINLEY PARK
505883	WdmFinal	ak505883.wdm	9	61.425	-149.41	COMPUTED	PMET	'1986/01/01'	'2003/12/31'	18	31.81	31.81	0.005	0.022	0.070	0.124	0.182	0.205	0.178	0.122	0.067	0.045	0.014	0.008	MIRROR LAKE SCOUT CAMP
506496	WdmFinal	ak506496.wdm	9	64.513	-165.44	COMPUTED	PMET	'1997/01/01'	'2006/12/31'	10	27.01	27	0.012	0.020	0.044	0.078	0.131	0.171	0.149	0.108	0.079	0.048	0.034	0.012	NOME WSO AIRPORT
506581	WdmFinal	ak506581.wdm	9	64.758	-147.33	COMPUTED	PMET	'1970/01/01'	'2006/12/31'	37	35.3	35.32	0.000	0.001	0.042	0.130	0.236	0.269	0.237	0.146	0.072	0.021	0.001	0.000	NORTH POLE
506586	WdmFinal	ak506586.wdm	9	62.961	-141.93	COMPUTED	PMET	'1972/01/01'	'2006/12/31'	35	24.88	24.88	0.001	0.000	0.031	0.061	0.151	0.205	0.180	0.106	0.027	0.049	0.000	0.001	NORTHWAY AP
506853	WdmFinal	ak506853.wdm	9	57.926	-152.5	COMPUTED	PMET	'1990/01/01'	'2006/12/31'	17	45.27	45.27	0.087	0.080	0.134	0.144	0.219	0.157	0.151	0.127	0.095	0.092	0.115	0.084	OUZINKIE
506870	WdmFinal	ak506870.wdm	9	61.422	-149.1	COMPUTED	PMET	'1970/01/01'	'2006/12/31'	37	31.48	31.62	0.005	0.022	0.067	0.119	0.187	0.199	0.175	0.125	0.071	0.044	0.015	0.007	PALMER JOB CORPS
507251	WdmFinal	ak507251.wdm	9	56.802	-132.95	COMPUTED	PMET	'2001/01/01'	'2006/12/31'	6	30.35	30.35	0.039	0.047	0.083	0.126	0.144	0.150	0.125	0.100	0.059	0.065	0.049	0.008	PETERSBURG 1
507570	WdmFinal	ak507570.wdm	9	60.203	-154.32	COMPUTED	PMET	'1972/01/01'	'2006/12/31'	35	45.3	45.3	0.057	0.066	0.090	0.125	0.195	0.224	0.195	0.171	0.117	0.099	0.080	0.066	PORT ALSWORTH
507738	WdmFinal	ak507738.wdm	9	60.05	-148.07	COMPUTED	PMET	'1981/01/01'	'2005/12/31'	25	22.6	22.6	0.007	0.015	0.049	0.076	0.124	0.136	0.128	0.095	0.053	0.033	0.015	0.008	PORT SAN JUAN
507783	WdmFinal	ak507783.wdm	9	62.091	-152.74	COMPUTED	PMET	'1970/01/01'	'2005/12/31'	36	29.79	29.56	0.010	0.023	0.047	0.088	0.165	0.201	0.173	0.118	0.072	0.038	0.018	0.014	PUNTILLA
508118	WdmFinal	ak508118.wdm	9	57.159	-170.22	COMPUTED	PMET	'1970/01/01'	'2006/12/31'	37	30.73	30.73	0.044	0.043	0.062	0.098	0.124	0.137	0.115	0.095	0.074	0.082	0.076	0.057	ST PAUL ISLAND AP
508371	WdmFinal	ak508371.wdm	9	60.104	-149.44	COMPUTED	PMET	'1970/01/01'	'2005/12/31'	36	27.14	27.12	0.027	0.036	0.070	0.096	0.125	0.140	0.127	0.095	0.055	0.048	0.036	0.033	SEWARD
508375	WdmFinal	ak508375.wdm	9	60.188	-149.63	COMPUTED	PMET	'1984/01/01'	'2005/12/31'	22	25.62	25.62	0.020	0.030	0.068	0.098	0.130	0.137	0.120	0.089	0.052	0.043	0.028	0.025	SEWARD 8 NW
508377	WdmFinal	ak508377.wdm	9	60.354	-149.35	COMPUTED	PMET	'1987/01/01'	'2005/12/31'	19	25.95	25.95	0.004	0.016	0.056	0.091	0.141	0.170	0.158	0.112	0.051	0.032	0.011	0.006	SEWARD 19 N
508470	WdmFinal	ak508470.wdm	9	61.518	-144.19	COMPUTED	PMET	'1994/01/01'	'2005/12/31'	12	30.76	30.76	0.008	0.020	0.068	0.121	0.178	0.188	0.155	0.114	0.078	0.051	0.017	0.010	SILVER LAKE
508494	WdmFinal	ak508494.wdm	9	57.048	-135.36	COMPUTED	PMET	'1970/01/01'	'2006/12/31'	37	31.32	31.44	0.006	0.037	0.082	0.117	0.165	0.172	0.163	0.129	0.078	0.045	0.016	0.018	SITKA JAPONSKI AP
508547	WdmFinal	ak508547.wdm	9	62.709	-143.98	COMPUTED	PMET	'1970/01/01'	'2005/11/30'	35.92	24.62	25.18	0.001	0.000	0.035	0.060	0.151	0.205	0.180	0.107	0.026	0.055	0.000	0.001	SLANA
508594	WdmFinal	ak508594.wdm	9	62.03	-146.69	COMPUTED	PMET	'1970/01/01'	'2004/12/31'	35	25.84	25.6	0.006	0.014	0.050	0.090	0.154	0.147	0.136	0.099	0.074	0.047	0.014	0.007	SNOWSHOE LAKE
508915	WdmFinal	ak508915.wdm	9	61.714	-148.91	COMPUTED	PMET	'1978/01/01'	'2006/12/31'	29	29.6	29.6	0.005	0.022	0.070	0.120	0.172	0.182	0.159	0.111	0.063	0.044	0.014	0.007	SUTTON 1 W
508976	WdmFinal	ak508976.wdm	9	62.32	-150.1	COMPUTED	PMET	'1970/01/01'	'2006/12/31'	37	28.94	29.01	0.013	0.028	0.055	0.100	0.154	0.187	0.164	0.107	0.064	0.039	0.022	0.018	TALKEETNA AP
509014	WdmFinal	ak509014.wdm	9	65.174	-152.11	COMPUTED	PMET	'1970/01/01'	'2006/12/31'	37	28.34	28.36	0.004	0.015	0.044	0.102	0.184	0.219	0.176	0.101	0.053	0.014	0.015	0.001	TANANA AP
509313	WdmFinal	ak509313.wdm	9	63.352	-143.04	COMPUTED	PMET	'1970/01/01'	'2006/12/31'	37	25.99	25.9	0.001	0.000	0.033	0.062	0.156	0.210	0.190	0.113	0.028	0.053	0.000	0.001	TOK
509385	WdmFinal	ak509385.wdm	9	61.654	-145.17	COMPUTED	PMET	'1970/01/01'	'2003/12/31'	34	28.4	28.46	0.006	0.016	0.061	0.108	0.173	0.169	0.149	0.105	0.073	0.048	0.015	0.008	TONSINA
509398	WdmFinal	ak509398.wdm	9	62.262	-150.42	COMPUTED	PMET	'1998/01/01'	'2006/12/31'	9	30.57	30.57	0.014	0.030	0.063	0.099	0.163	0.204	0.165	0.113	0.066	0.040	0.023	0.020	TRAPPER CREEK 7 SW
509460	WdmFinal	ak509460.wdm	9	59.436	-151.41	COMPUTED	PMET	'1980/01/01'	'2002/12/31'	23	27.77	27.77	0.026	0.035	0.074	0.092	0.133	0.148	0.134	0.095	0.054	0.051	0.035	0.032	TUTKA BAY LAGOON
509489	WdmFinal	ak509489.wdm	9	64.866	-146.95	COMPUTED	PMET	'1993/01/01'	'2005/12/31'	13	32.3	32.3	0.000	0.001	0.044	0.143	0.211	0.250	0.202	0.120	0.063	0.021	0.001	0.000	TWO RIVERS
509641	WdmFinal	ak509641.wdm	9	64.856	-147.86	COMPUTED	PMET	'1970/01/01'	'2006/12/31'	37	34.46	33.75	0.000	0.001	0.044	0.129	0.227	0.251	0.219	0.138	0.072	0.022	0.001	0.000	UNIVERSITY EXP STA
509686	WdmFinal	ak509686.wdm	9	61.133	-146.35	COMPUTED	PMET	'1970/01/01'	'2006/12/31'	37	24.12	24.58	0.009	0.017	0.057	0.092	0.135	0.144	0.129	0.092	0.057	0.041	0.019	0.011	VALDEZ WSO
509790	WdmFinal	ak509790.wdm	9	61.707	-150	COMPUTED	PMET	'1971/01/01'	'2006/12/31'	36	30.09	30.09	0.004	0.017	0.057	0.106	0.172	0.201	0.183	0.124	0.067	0.037	0.011	0.005	WHITES CROSSING
509829	WdmFinal	ak509829.wdm	9	60.776	-148.69	COMPUTED	PMET	'1981/01/01'	'2006/12/31'	26	24.38	24.38	0.004	0.014	0.049	0.080	0.140	0.160	0.145	0.107	0.054	0.029	0.011	0.005	WHITTIER
509919	WdmFinal	ak509919.wdm	9	56.484	-132.37	COMPUTED	PMET	'1970/01/01'	'2006/12/31'	37	31.35	30.89	0.052	0.053	0.086	0.116	0.142	0.130	0.138	0.097	0.072	0.060	0.057	0.009	WRANGELL AIRPORT
509941	WdmFinal	ak509941.wdm	9	59.51	-139.66	COMPUTED	PMET	'1970/01/01'	'2005/12/31'	36	21.72	21.72	0.003	0.016	0.046	0.078	0.125	0.128	0.122	0.088	0.049	0.032	0.015	0.008	YAKUTAT  AP
10008	WdmFinal	al010008.wdm	9	31.57	-85.248	COMPUTED	PMET	'1970/01/01'	'2006/12/31'	37	67.35	67.35	0.087	0.131	0.191	0.230	0.254	0.248	0.247	0.230	0.213	0.160	0.123	0.096	ABBEVILLE
10160	WdmFinal	al010160.wdm	9	32.945	-85.948	COMPUTED	PMET	'1970/01/01'	'2006/12/31'	37	67.02	67.02	0.076	0.115	0.189	0.223	0.240	0.255	0.259	0.241	0.216	0.164	0.127	0.092	ALEXANDER CITY
10252	WdmFinal	al010252.wdm	9	31.307	-86.522	COMPUTED	PMET	'1981/01/01'	'2006/12/31'	26	62.68	62.67	0.062	0.105	0.172	0.213	0.237	0.237	0.245	0.232	0.209	0.149	0.113	0.081	ANDALUSIA 3 W
10272	WdmFinal	al010272.wdm	9	33.587	-85.856	COMPUTED	PMET	'2001/01/01'	'2006/12/31'	6	55.34	55.34	0.055	0.096	0.164	0.200	0.193	0.204	0.216	0.213	0.182	0.119	0.099	0.075	ANNISTON METRO AP
10369	WdmFinal	al010369.wdm	9	33.294	-85.779	COMPUTED	PMET	'1970/01/01'	'2005/12/31'	36	57.93	57.77	0.049	0.102	0.163	0.207	0.213	0.223	0.228	0.213	0.187	0.131	0.103	0.077	ASHLAND 3 ENE
10425	WdmFinal	al010425.wdm	9	32.599	-85.465	COMPUTED	PMET	'1997/01/01'	'2006/12/31'	10	67.48	67.47	0.082	0.117	0.202	0.227	0.247	0.240	0.260	0.239	0.216	0.162	0.128	0.093	AUBURN NO 2
10505	WdmFinal	al010505.wdm	9	33.453	-87.357	COMPUTED	PMET	'1970/01/01'	'2006/12/31'	37	61.66	61.72	0.060	0.103	0.164	0.217	0.232	0.233	0.243	0.225	0.205	0.148	0.116	0.080	BANKHEAD LOCK AND DAM
10583	WdmFinal	al010583.wdm	9	30.884	-87.785	COMPUTED	PMET	'1970/01/01'	'2006/12/31'	37	68.86	69.92	0.091	0.137	0.197	0.224	0.247	0.254	0.244	0.242	0.225	0.185	0.148	0.103	BAY MINETTE
10655	WdmFinal	al010655.wdm	9	34.691	-86.882	COMPUTED	PMET	'1970/01/01'	'2006/12/31'	37	65.93	67.36	0.059	0.109	0.195	0.245	0.247	0.266	0.265	0.241	0.216	0.155	0.123	0.090	BELLE MINA 2 N
10764	WdmFinal	al010764.wdm	9	33.395	-87.008	COMPUTED	PMET	'1978/01/01'	'2006/12/31'	29	72.04	72.04	0.091	0.136	0.206	0.249	0.262	0.262	0.277	0.255	0.231	0.162	0.130	0.102	BESSEMER 3 WSW
10831	WdmFinal	al010831.wdm	9	33.566	-86.745	COMPUTED	PMET	'1970/01/01'	'2006/12/31'	37	77.5	77.5	0.103	0.158	0.229	0.276	0.275	0.274	0.293	0.268	0.238	0.173	0.144	0.113	BIRMINGHAM INTL AP
